Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres_01,Capacity_acrefeet_01,Area_acres_int,Capacity_acrefeet_int,Area_percent_dif,Capacity_percent_dif
3160.95,3158.04,69.51,1599.4,69.51,1599.4,0.01,0
3160.96,3158.05,69.51,1600.1,69.51,1600.09,0.01,0
3160.97,3158.06,69.51,1600.8,69.52,1600.79,0.01,0
3160.98,3158.07,69.51,1601.48,69.52,1601.48,0.01,0
3160.99,3158.08,69.52,1602.17,69.52,1602.18,0.01,0
3161,3158.09,69.52,1602.87,69.52,1602.87,0.01,0
3400,3397.09,24410.15,2306215.85,24410.09,2306222.8,0,0
3400.01,3397.1,24412.29,2306460.26,24412.15,2306467.04,0,0
3400.02,3397.11,24414.48,2306704.7,24414.21,2306711.29,0,0
3400.03,3397.12,24416.59,2306949.15,24416.28,2306955.54,0,0
3400.04,3397.13,24418.7,2307193.63,24418.34,2307199.79,0,0
3400.05,3397.14,24420.77,2307438.13,24420.4,2307444.03,0,0
3400.06,3397.15,24422.84,2307682.65,24422.46,2307688.28,0,0
3400.07,3397.16,24424.9,2307927.19,24424.52,2307932.53,0,0
3400.08,3397.17,24426.98,2308171.76,24426.59,2308176.78,0,0
3400.09,3397.18,24429.04,2308416.34,24428.65,2308421.02,0,0
3400.1,3397.19,24431.11,2308660.94,24430.71,2308665.27,0,0
3400.11,3397.2,24433.15,2308905.56,24432.77,2308909.52,0,0
3400.12,3397.21,24435.18,2309150.21,24434.83,2309153.77,0,0
3400.13,3397.22,24437.19,2309394.87,24436.9,2309398.01,0,0
3400.14,3397.23,24439.24,2309639.56,24438.96,2309642.26,0,0
3400.15,3397.24,24441.28,2309884.26,24441.02,2309886.51,0,0
3400.16,3397.25,24443.3,2310128.99,24443.08,2310130.76,0,0
3400.17,3397.26,24445.32,2310373.73,24445.14,2310375,0,0
3400.18,3397.27,24447.37,2310618.5,24447.21,2310619.25,0,0
3400.19,3397.28,24449.44,2310863.28,24449.27,2310863.5,0,0
3400.2,3397.29,24451.47,2311108.09,24451.33,2311107.75,0,0
3400.21,3397.3,24453.53,2311352.92,24453.39,2311351.99,0,0
3400.22,3397.31,24455.63,2311597.77,24455.45,2311596.24,0,0
3400.23,3397.32,24457.63,2311842.64,24457.52,2311840.49,0,0
3400.24,3397.33,24459.64,2312087.53,24459.58,2312084.74,0,0
3400.25,3397.34,24461.7,2312332.43,24461.64,2312328.99,0,0
3400.26,3397.35,24463.74,2312577.36,24463.71,2312573.06,0,0
3400.27,3397.36,24465.8,2312822.32,24465.75,2312817.98,0,0
3400.28,3397.37,24467.86,2313067.29,24467.78,2313062.9,0,0
3400.29,3397.38,24469.93,2313312.28,24469.82,2313307.82,0,0
3400.3,3397.39,24472,2313557.29,24471.86,2313552.74,0,0
3400.31,3397.4,24474.03,2313792.52,24473.9,2313797.65,0,0
3400.32,3397.41,24476.1,2314037.57,24475.94,2314042.57,0,0
3400.33,3397.42,24478.15,2314282.65,24477.98,2314287.49,0,0
3400.34,3397.43,24480.18,2314527.74,24480.02,2314532.41,0,0
3400.35,3397.44,24482.23,2314772.86,24482.05,2314777.33,0,0
3400.36,3397.45,24484.28,2315017.99,24484.09,2315022.25,0,0
3400.37,3397.46,24486.35,2315263.15,24486.13,2315267.17,0,0
